,threshold,accuracy,precision,recall,f1score
500,0.5,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
672,0.672,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
659,0.659,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
660,0.66,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
661,0.661,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
662,0.662,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
663,0.663,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
664,0.664,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
665,0.665,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
666,0.666,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
667,0.667,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
668,0.668,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
669,0.669,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
670,0.67,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
671,0.671,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
673,0.673,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
626,0.626,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
674,0.674,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
675,0.675,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
676,0.676,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
677,0.677,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
678,0.678,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
679,0.679,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
680,0.68,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
681,0.681,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
682,0.682,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
683,0.683,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
684,0.684,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
685,0.685,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
686,0.686,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
658,0.658,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
657,0.657,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
656,0.656,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
655,0.655,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
628,0.628,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
629,0.629,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
630,0.63,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
631,0.631,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
632,0.632,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
633,0.633,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
634,0.634,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
635,0.635,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
636,0.636,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
637,0.637,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
638,0.638,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
639,0.639,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
640,0.64,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
641,0.641,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
642,0.642,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
643,0.643,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
644,0.644,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
645,0.645,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
646,0.646,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
647,0.647,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
648,0.648,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
649,0.649,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
650,0.65,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
651,0.651,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
652,0.652,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
653,0.653,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
654,0.654,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
687,0.687,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
688,0.6880000000000001,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
689,0.6890000000000001,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
720,0.72,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
722,0.722,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
723,0.723,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
724,0.724,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
725,0.725,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
726,0.726,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
727,0.727,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
728,0.728,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
729,0.729,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
730,0.73,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
731,0.731,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
732,0.732,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
733,0.733,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
